album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
100th Window - The Remixes,0.592,0.653,-13.29,0.0359,0.309,0.852,0.283,105.0
101 Crazy Jokes for Kids,0.8314999999999999,0.935,-4.529999999999999,0.27,0.08345,0.4245525,0.5725,116.4595
101 Dalmatians,0.629,0.619,-17.621,0.0606,0.835,0.0327,0.4,118.186
1019,0.492,0.369,-7.996,0.0367,0.849,0.0,0.159,125.813
1023,0.481,0.977,-4.777,0.0712,0.00685,0.116,0.23,126.003
10:39,0.45099999999999996,0.2935,-12.9695,0.04405,0.8235,5.2e-05,0.29800000000000004,139.14600000000002
10s Hip-Hop Hits,0.652,0.671,-5.376,0.315,0.00402,2.89e-05,0.518,159.963
10th Anniversary Best BLUE,0.393,0.957,-3.914,0.10100000000000002,0.000748,0.0,0.523,186.04
10號梁漢文,0.513,0.558,-6.258,0.0554,0.875,0.0,0.482,200.9
11 AM Blues,0.732,0.588,-7.015,0.0367,0.523,0.0,0.657,94.981
11 Minutes,0.464,0.852,-3.804,0.067,0.0116,0.0,0.233,160.075
11 Past The Hour,0.35433333333333333,0.5373333333333333,-7.582333333333334,0.0407,0.49913333333333326,1.8966666666666666e-05,0.31833333333333336,130.184
11 RAZONES,0.6026666666666667,0.7396666666666668,-4.068666666666666,0.0388,0.03668,0.0,0.4283333333333334,147.683
11 Relaxing Rainfall Sounds to Loop and Beat Stress,0.0,0.998,-25.885,0.0,0.132,0.942,0.0,122.979
110,0.7025,0.618,-6.7364999999999995,0.41800000000000004,0.1467,0.0,0.5025,104.537
112,0.686,0.801,-6.871,0.126,0.00537,0.0,0.706,145.048
11: 11,0.414,0.306,-8.6875,0.029199999999999997,0.74,0.0,0.279,94.14150000000001
11:11,0.7561666666666667,0.7731666666666667,-4.656333333333333,0.17046666666666668,0.19265933333333332,0.14783371333333334,0.55285,101.175
11月的蕭邦,0.5902499999999999,0.60225,-6.3626249999999995,0.052025,0.4867875,0.0192312975,0.37375,136.42487500000001
12,0.8855,0.615,-7.6665,0.194,0.26,4.895e-06,0.5515,133.96800000000002
12 - Kinderen voor Kinderen,0.719,0.936,-5.189,0.0495,0.682,0.0,0.814,124.725
12 Bande,0.706,0.693,-5.502,0.259,0.0123,0.0,0.838,141.794
12 Bunte Liedergeschichten,0.7115,0.512,-10.077,0.0395,0.6459999999999999,0.0,0.7150000000000001,92.64
12 Days of Christmas 2022,0.5527714285714286,0.5833514285714286,-8.767685714285715,0.07560571428571428,0.5096537142857143,0.004742141714285715,0.7010571428571428,128.4647142857143
12 Düet,0.511,0.894,-5.179,0.0863,0.0159,0.0,0.466,88.002
12 Exitos Originales Charanga 76,0.473,0.52,-12.647,0.0678,0.482,0.00162,0.956,104.155
12 Grandes exitos Vol. 1,0.6394285714285715,0.6282857142857142,-6.717142857142858,0.050300000000000004,0.7304285714285713,0.0002878,0.713,117.28457142857143
12 Grandes exitos Vol. 2,0.5891,0.6013,-7.7425,0.04234,0.5033,6.97e-06,0.7567,103.25999999999999
